Area,Competition,Gender,Category,Season,Matches,Tagged
,CECAFA Senior Challenge Cup,Male,Senior,2015 Ethiopia,26,0%
,,,,2017 Kenya,20,0%
,,,,2019 Uganda,20,20%
,,,,2021,17,0%
,COSAFA Cup,Male,Senior,2017 South Africa,23,91%
,,,,2018 South Africa,23,78%
,,,,2019 South Africa,20,95%
,,,,2021 South Africa,24,96%
,,,,2022 South Africa,23,96%
,,,,2023 South Africa,22,95%
,,,,2024 South Africa,22,100%
,COSAFA U17,Male,Youth,2021,10,20%
,,,,2022,13,0%
,COSAFA U20 Championship,Male,Youth,2018 Zambia,19,0%
,,,,2019 Zambia,22,0%
,,,,2020 South Africa,19,0%
,,,,2022 Eswatini,22,0%
Africa,COSAFA U20 Championship,Male,Youth,2024 Mozambique,18,0%
,Ghana Has Talent 2017 To..,Male,Youth,2017,22,36%
,TotalEnergies CAF Women's Champions League,Female,Senior,2021,16,100%
,,,,2022,16,100%
,,,,2023,16,94%
,,,,2024,16,94%
,WAFU Cup of Nations,Male,Senior,Ghana 2017,24,4%
,,,,Senegal 2019,22,0%
,Women's Olympic Qualify..,Female,Senior,2024 Paris,6,67%
Albania,1st Division,Male,Senior,2015/2016,271,0%
,,,,2016/2017,261,0%
,,,,2017/2018,148,0%
,,,,2019/2020,249,0%
,2nd Division,Male,Senior,2015/2016,263,0%
,,,,2016/2017,313,0%
,,,,2017/2018,257,0%
,Abissnet Superiore,Male,Senior,2015/2016,180,1%
,,,,2016/2017,180,74%
,,,,2017/2018,180,97%
,,,,2018/2019,180,91%
,,,,2019/2020,180,98%
,,,,2020/2021,180,98%
,,,,2021/2022,180,99%
,,,,2022/2023,180,98%
,,,,2023/2024,184,98%
,,,,2024/2025,100,100%
,Cup,Male,Senior,2015/2016,63,0%
,,,,2016/2017,63,19%
,,,,2017/2018,63,24%
,,,,2018/2019,13,0%
,,,,2019/2020,17,18%
,,,,2020/2021,7,86%
,,,,2021/2022,15,87%
,,,,2022/2023,29,0%
,,,,2023/2024,21,0%
,,,,2024/2025,8,0%
,Kampionati Femrave,Female,Senior,2016/2017,90,0%
,,,,2017/2018,30,0%
,Play-offs 1/2,Male,Senior,2021/2022,1,0%
,,,,2022/2023,1,0%
,Play-offs 2/3,Male,Senior,2015/2016,2,0%
,,,,2016/2017,2,0%
,Super Cup,Male,Senior,2015/2016,1,100%
,,,,2016/2017,1,100%
,,,,2017/2018,1,100%
,,,,2018/2019,1,100%
Albania,Super Cup,Male,Senior,2019/2020,1,100%
,,,,2020/2021,1,0%
,,,,2021/2022,1,100%
,,,,2022/2023,1,100%
,,,,2023/2024,1,100%
,,,,2024/2025,1,100%
Algeria,Coupe de la Ligue,Male,Senior,2021,15,0%
,Coupe Nationale,Male,Senior,2015/2016,63,0%
,,,,2016/2017,63,0%
,,,,2017/2018,62,0%
,,,,2018/2019,39,0%
,,,,2019/2020,31,16%
,,,,2022/2023,36,0%
,,,,2023/2024,30,0%
,,,,2024/2025,13,0%
,Ligue 1,Male,Senior,2015/2016,240,0%
,,,,2016/2017,240,17%
,,,,2017/2018,240,45%
,,,,2018/2019,240,45%
,,,,2019/2020,173,36%
,,,,2020/2021,380,35%
,,,,2021/2022,306,25%
,,,,2022/2023,240,45%
,,,,2023/2024,240,43%
,,,,2024/2025,110,3%
,Ligue 2,Male,Senior,2015/2016,240,0%
,,,,2016/2017,240,0%
,,,,2017/2018,132,0%
,Super Cup,Male,Senior,2015/2016,1,0%
,,,,2016/2017,1,0%
,,,,2017/2018,1,0%
,,,,2018/2019,1,0%
,,,,2019/2020,1,0%
,U21 League 1,Male,Youth,2015/2016,240,0%
,,,,2016/2017,236,0%
,,,,2017/2018,117,0%
,U21 League 2,Male,Senior,2015/2016,238,0%
,,,,2016/2017,237,0%
American Samoa,Division 1,Male,Senior,2015/2016,24,0%
,,,,2016,55,0%
,,,,2017,18,0%
Andorra,1a Divisió,Male,Senior,2015/2016,80,0%
,,,,2016/2017,108,0%
,,,,2017/2018,71,0%
,,,,2019/2020,96,0%
,,,,2020/2021,80,0%
Andorra,1a Divisió,Male,Senior,2021/2022,108,98%
,,,,2022/2023,112,96%
,,,,2023/2024,135,97%
,,,,2024/2025,60,95%
,2a Divisió,Male,Senior,2015/2016,144,0%
,,,,2016/2017,90,0%
,,,,2017/2018,84,0%
,Copa Constitució,Male,Senior,2015/2016,11,0%
,,,,2016/2017,11,0%
,,,,2021/2022,13,62%
,,,,2022/2023,13,92%
,,,,2023/2024,10,100%
,,,,2024/2025,5,100%
,Play-offs 1/2,Male,Senior,2015/2016,1,0%
,,,,2016/2017,2,0%
,,,,2023/2024,2,100%
,Super Cup,Male,Senior,2015/2016,1,0%
,,,,2016/2017,1,0%
,,,,2017/2018,1,0%
,,,,2019/2020,1,0%
,,,,2020/2021,1,0%
,,,,2021/2022,1,0%
,,,,2022/2023,1,100%
,,,,2023/2024,1,0%
,,,,2024/2025,1,0%
Angola,Girabola,Male,Senior,2016,240,0%
,,,,2017,240,0%
,,,,2020,170,0%
,,,,2021,238,0%
,Super Cup,Male,Senior,2016,1,0%
,,,,2017,1,0%
Antigua and Barbuda,Premier Division,Male,Senior,2015/2016,90,0%
,,,,2016/2017,90,0%
,,,,2017/2018,33,0%
Argentina,Copa Argentina,Male,Senior,2016,85,68%
,,,,2017,133,47%
,,,,2018,67,96%
,,,,2019,109,59%
,,,,2020,89,74%
,,,,2022,62,100%
,,,,2023,63,100%
,,,,2024,63,97%
,Copa Bicentenario,Male,Senior,2016,1,0%
,Copa de la Liga Profesional,Male,Senior,2024,203,100%
,Copa de la Superliga,Male,Senior,2019,49,100%
,,,,2020,11,100%
Argentina,Copa Proyección,Male,Senior,2024,211,93%
,Liga Profesional de Fútbol,Male,Senior,2016,242,100%
,,,,2016/2017,450,100%
,,,,2017/2018,378,100%
,,,,2018/2019,325,100%
,,,,2019/2020,276,100%
,,,,2020/2021,135,100%
,,,,2021,501,100%
,,,,2022,581,100%
,,,,2023,582,100%
,,,,2024,378,100%
,Prim B Metro,Male,Senior,2016,190,1%
,,,,2016/2017,352,15%
,,,,2017/2018,317,74%
,,,,2018/2019,386,64%
,,,,2019/2020,276,95%
,,,,2021,295,91%
,,,,2022,282,87%
,,,,2023,287,93%
,,,,2024,477,82%
,Primera A,Female,Senior,2016,89,0%
,,,,2016/2017,132,0%
,,,,2017/2018,81,0%
,,,,2019/2020,131,0%
,,,,2020/2021,34,0%
,,,,2021,177,0%
,,,,2022,209,0%
,,,,2023,298,0%
,,,,2024,276,0%
,Primera C,Male,Senior,2016,190,0%
,,,,2016/2017,391,0%
,,,,2017/2018,378,0%
,,,,2018/2019,388,0%
,,,,2019/2020,311,0%
,,,,2021,353,0%
,,,,2022,350,1%
,,,,2023,357,0%
,,,,2024,602,0%
,Primera D,Male,Senior,2016,105,0%
,,,,2016/2017,248,0%
,,,,2017/2018,167,0%
,,,,2019/2020,179,0%
,,,,2021,146,0%
,,,,2022,112,0%
,,,,2023,165,0%
,Primera Nacional,Male,Senior,2016,231,65%
Argentina,Primera Nacional,Male,Senior,2016/2017,506,89%
,,,,2017/2018,311,94%
,,,,2018/2019,315,97%
,,,,2019/2020,334,98%
,,,,2020/2021,131,98%
,,,,2021,590,97%
,,,,2022,680,97%
,,,,2023,669,99%
,,,,2024,745,98%
,Super Copa,Male,Senior,2015/2016,1,0%
,,,,2016/2017,1,100%
,,,,2017/2018,1,100%
,,,,2018/2019,1,100%
,,,,2019/2020,1,100%
,,,,2022/2023,1,100%
,,,,2023/2024,1,100%
,Super Copa International,Male,Senior,2023,1,100%
,Torneo Federal A,Male,Senior,2016,240,0%
,,,,2016/2017,516,0%
,,,,2017/2018,506,0%
,,,,2019/2020,410,0%
,,,,2021,465,0%
,,,,2022,559,0%
,,,,2023,592,58%
,,,,2024,533,45%
,Torneo Federal B,Male,Senior,2016,340,0%
,,,,2016/2017,984,0%
",,,,2017,""1,448"",0%"
,Torneo Proyección,Male,Senior,2016,222,0%
,,,,2016/2017,422,0%
,,,,2017/2018,146,0%
,,,,2018/2019,28,0%
,,,,2019/2020,1,100%
,,,,2022,582,0%
,,,,2023,582,92%
,,,,2024,212,94%
,Trofeo de Campeones,Male,Senior,2019,1,0%
,,,,2020,1,100%
,,,,2021,1,100%
,,,,2022,2,100%
,,,,2023,1,100%
,,,,2024,1,100%
Armenia,Cup,Male,Senior,2015/2016,13,0%
,,,,2016/2017,13,31%
,,,,2017/2018,13,100%
,,,,2018/2019,21,90%
Armenia,Cup,Male,Senior,2019/2020,19,84%
,,,,2020/2021,24,100%
,,,,2021/2022,11,91%
,,,,2022/2023,13,100%
,,,,2023/2024,13,100%
,,,,2024/2025,5,80%
,First League,Male,Senior,2015/2016,112,0%
,,,,2016/2017,84,0%
,,,,2017/2018,135,68%
,,,,2018/2019,190,62%
,,,,2019/2020,230,72%
,,,,2020/2021,146,84%
,,,,2021/2022,111,40%
,,,,2022/2023,194,62%
,,,,2023/2024,208,69%
,,,,2024/2025,83,63%
,IDBank Premier League,Male,Senior,2015/2016,112,4%
,,,,2016/2017,90,46%
,,,,2017/2018,90,97%
,,,,2018/2019,144,96%
,,,,2019/2020,123,98%
,,,,2020/2021,108,91%
,,,,2021/2022,157,99%
,,,,2022/2023,180,97%
,,,,2023/2024,180,100%
,,,,2024/2025,93,100%
,Super Cup,Male,Senior,2015/2016,1,0%
,,,,2016/2017,1,0%
,,,,2017/2018,1,100%
,,,,2018/2019,1,0%
,,,,2019/2020,1,100%
,,,,2020/2021,1,100%
,,,,2021/2022,1,100%
,,,,2023/2024,1,100%
Aruba,Copa Betico Croes,Male,Senior,2016,8,0%
,,,,2017,7,0%
,Division di Honor,Male,Senior,2015/2016,101,0%
,,,,2016/2017,87,0%
,,,,2017/2018,44,0%
Asia,AFC Asian Cup,Male,Senior,2019 UAE,51,100%
,,,,2023 Qatar,51,100%
,AFC Asian Cup Qualification,Male,Senior,2019 UAE,88,65%
,,,,2023 China,40,100%
,,,,2027 Saudi Arabia,6,50%
,AFC Champions League Elite,Male,Senior,2016,139,96%
,,,,2017,141,98%
Asia,AFC Champions League Elite,Male,Senior,2018,140,100%
,,,,2019,145,99%
,,,,2020,121,98%
,,,,2021,140,99%
,,,,2022,137,99%
,,,,2023/2024,162,98%
,,,,2024/2025,75,100%
,AFC Champions League Two,Male,Senior,2016,127,63%
,,,,2017,142,56%
,,,,2018,143,87%
,,,,2019,141,91%
,,,,2020,50,92%
,,,,2021,48,96%
,,,,2022,68,97%
,,,,2023/2024,133,95%
,,,,2024/2025,93,82%
,AFC Solidarity Cup,Male,Senior,2016 Malaysia,14,0%
,AFC U16 Championship,Male,Youth,2016 India,92,0%
,,,,2018 Malaysia,104,0%
,,,,2020 Bahrain,32,6%
,AFC U16 Women's Champi..,Female,Youth,2017 Thailand,66,0%
,AFC U17 Asian Cup,Male,Youth,2023 Thailand,31,100%
,AFC U17 Asian Cup Qualification,Male,Youth,2023,11,36%
,,,,2025,2,0%
,AFC U17 Women's Asian C..,Female,Youth,2024 Indonesia,16,100%
,AFC U19 Championship,Male,Youth,2016 Bahrain,99,22%
,,,,2018 Indonesia,97,30%
,,,,2020,74,3%
,AFC U19 Women's Championship,Female,Senior,2017 China PR,34,0%
,,,,2019 Thailand,49,0%
,AFC U20 Asian Cup,Male,Youth,2023 Uzbekistan,31,100%
,AFC U20 Asian Cup Qualification,Male,Youth,2023,76,63%
,,,,2025,80,44%
,AFC U20 Women's Asian C..,Female,Youth,2024 Uzbekistan,16,31%
,AFC U20 Women's Asian C..,Female,Youth,2024 Uzbekistan,14,36%
,AFC U23 Asian Cup,Male,Youth,2018 China PR,89,48%
,,,,2020 Thailand,95,77%
,,,,2022 Uzbekistan,32,100%
,,,,2024 Qatar,32,100%
,AFC U23 Asian Cup Qualification,Male,Youth,2022,50,56%
,,,,2023,57,65%
,AFC Women's Champions League,Female,NULL,2021 Jordan,6,0%
,,,,2022,5,0%
,,,,2023 Uzbekistan/Thailand,13,0%
,,,,2024/2025,18,0%
,AFC World Cup Qualifiers,Male,Senior,2022 Qatar,229,97%
Asia,AFC World Cup Qualifiers,Male,Senior,2026 Canada/Mexico/USA,182,92%
,AFF U23 Championship,Male,Youth,2022 Cambodia,14,100%
,,,,2023 Thailand,16,94%
,AFF Women's Championship,Female,Senior,2016 Myanmar,16,0%
,,,,2022 Philippines,29,97%
,ASEAN Championship,Male,NULL,2016 Myanmar/Philippines,24,58%
,,,,2018,28,0%
,,,,2020,26,100%
,,,,2022,28,100%
,,,,2024,28,96%
,ASEAN Club Championship,Male,Senior,2024/2025,18,89%
,ASEAN U16 Championship,Male,Youth,2015 Cambodia,29,0%
,,,,2016 Cambodia,29,0%
,,,,2024 Indonesia,4,75%
,ASEAN U19 Championship,Male,Youth,2015 Laos,24,0%
,,,,2016 Vietnam,30,0%
,,,,2017 Myanmar,29,0%
,,,,2018 Indonesia,28,0%
,,,,2019,31,0%
,,,,2022,29,100%
,,,,2024 Indonesia,22,68%
,Asian Games,Male,Youth,2018 Indonesia,56,0%
,,,,2022 China PR,45,100%
,Bangabandhu Gold Cup,Male,Youth,2016,12,0%
,,,,2018,9,0%
,,,,2020,8,75%
,CAFA Nations Cup,Male,Senior,2023,11,100%
,EAFF E-1 Football Championship,Male,Senior,2017 Japan,18,22%
,,,,2019 Korea Republic,6,0%
,,,,2022 Japan,6,100%
,EAFF E-1 Football Champi..,Male,NULL,2025 Korea Republic,5,100%
,EAFF E-1 Football Championship Women,Female,Senior,2017 Japan,13,0%
,,,,2019 Korea Republic,8,63%
,,,,2022 Japan,6,100%
,EAFF E-1 Football Champi..,Female,NULL,2023,12,92%
,East Asian Youth Games,Male,Youth,2023,3,100%
,Gulf Cup of Nations,Male,Senior,2017 Kuwait,15,100%
,,,,2019 Qatar,15,100%
,,,,2023 Iraq,15,100%
,,,,2024 Kuwait,15,100%
,Gulf Cup U17,Male,Youth,2015 Qatar,11,0%
,,,,2016,10,0%
,Gulf Olympic Teams Cup,Male,Youth,2016 Qatar,10,0%
,Hassanal Bolkiah Trophy ..,Male,Youth,2018,12,0%
,Islamic Solidarity Games,Male,Senior,2017,16,13%
,,,,2021 Turkey,5,40%
Asia,J.League Asia Challenge,Male,Senior,2017,4,50%
,,,,2018,2,100%
,,,,2019,2,0%
,,,,2022,3,100%
,,,,2023/2024,2,0%
,Qatar-UAE Super Cup,Male,Senior,2024,1,100%
,SAFF Championship,Male,Senior,2015 India,12,0%
,,,,2018 Bangladesh,11,18%
,,,,2021 Maldives,11,100%
,,,,2023 India,15,100%
,SAFF Women's Championship,Female,Senior,2016 India,12,0%
,,,,2022 Nepal,12,0%
,,,,2024 Nepal,12,0%
,Southeast Asian Games,Male,Youth,2017 Malaysia,29,0%
,,,,2019 Philippines,5,80%
,,,,2021 Vietnam,24,100%
,,,,2023 Cambodia,24,100%
,Southeast Asian Women's Games,Female,Senior,2017 Malaysia,10,0%
,,,,2021 Vietnam,13,100%
,,,,2023 Cambodia,16,81%
,UAE-Qatar Super Shield,Male,Senior,2024,1,100%
,Vietnamese International ..,Male,Youth,2018,8,0%
,West Asia Championship U23,Male,Youth,2015,8,0%
,,,,2021 - Saudi Arabia,18,0%
,,,,2022 - Saudi Arabia,11,100%
,,,,2023 Iraq,12,100%
,,,,2024 Saudi Arabia,12,92%
,Women's Asian Cup,Female,Senior,2018 Jordan,17,29%
,,,,2022 India,26,100%
,Women's Asian Cup Qualification,Female,Senior,2018 Jordan,38,0%
,,,,2022 India,8,88%
,Women's Asian Games,Female,Senior,2018 Indonesia,23,26%
,,,,2022 China PR,28,100%
,Women's Olympic Qualifying Asia,Female,Senior,2020 Tokyo,38,34%
,,,,2024 Paris,24,71%
Australia,A-League,Male,Senior,2015/2016,140,100%
,,,,2016/2017,140,100%
,,,,2017/2018,140,100%
,,,,2018/2019,140,100%
,,,,2019/2020,148,99%
,,,,2020/2021,161,100%
,,,,2021/2022,163,100%
,,,,2022/2023,163,100%
,,,,2023/2024,169,100%
,,,,2024/2025,79,100%
,A-League Women,Female,Senior,2015/2016,57,0%
Australia,A-League Women,Female,Senior,2016/2017,57,4%
,,,,2017/2018,57,2%
,,,,2018/2019,57,96%
,,,,2019/2020,57,93%
,,,,2020/2021,57,98%
,,,,2021/2022,74,100%
,,,,2022/2023,103,99%
,,,,2023/2024,139,100%
,,,,2024/2025,65,98%
,Australia Cup,Male,Senior,2016,601,0%
,,,,2017,612,3%
,,,,2018,42,71%
,,,,2019,31,0%
,,,,2021,32,97%
,,,,2022,33,97%
,,,,2023,33,100%
,,,,2024,33,94%
,Brisbane,Male,Senior,2016,136,0%
,,,,2017,136,0%
,Brisbane Canale Cup,Male,Senior,2015,1,0%
,,,,2016,1,0%
,,,,2017,56,0%
,Brisbane Capital League 1,Male,Senior,2016,136,0%
,,,,2017,136,0%
,Brisbane Reserves Premier League,Male,Senior,2016,136,0%
,,,,2017,136,0%
,Capital Territory NPL,Male,Senior,2020,44,93%
,,,,2021,67,99%
,,,,2022,88,97%
,,,,2023,88,99%
,,,,2024,87,99%
,Football Queensland Academy,Female,Youth,2023,4,100%
,,Male,Youth,2023,7,100%
",National Premier Leagues,Male,Senior,2016,""1,011"",0%"
",,,,2017,""1,085"",0%"
,,,,2018,108,0%
,National Youth Champion..,Male,Youth,2023,46,13%
,National Youth Champion..,Male,Youth,2023,46,33%
,National Youth Champion..,Female,Youth,2023,38,0%
,National Youth Champion..,Female,Youth,2023,26,0%
,National Youth League,Male,Youth,2015/2016,41,0%
,,,,2016/2017,41,0%
,,,,2017/2018,16,0%
,New South Wales NPL,Male,Senior,2020,66,95%
,,,,2020 SUSPENDED,17,94%
,,,,2021,102,95%
Australia,New South Wales NPL,Male,Senior,2022,138,98%
,,,,2023,240,99%
,,,,2024,245,98%
,New South Wales NPL Women,Female,Senior,2023,26,50%
,,,,2024,29,100%
,New South Wales NPL Youth League,Male,Youth,2020,69,0%
,,,,2020 OLD,17,0%
,,,,2021,102,0%
,,,,2022,134,0%
,,,,2023,239,0%
,Northern NSW NPL,Male,Senior,2019,115,89%
,,,,2020,71,25%
,,,,2021,75,99%
,,,,2022,116,86%
,,,,2023,138,0%
,,,,2024,137,0%
,Northern Territory,Male,Senior,2016,64,0%
,,,,2017,67,0%
,NPL Youth League,Male,Youth,2016,401,0%
,,,,2017,794,0%
,,,,2018,62,0%
,NSW Pre-season Cup,Female,Senior,2017,21,0%
,NSW Waratah Cup,Male,Senior,2015,4,0%
,,,,2016,5,0%
,,,,2017,5,0%
,Play-offs 2/3,Male,Senior,2016,1,0%
,,,,2017,3,0%
,Queensland FQPL 1 Women,Female,Senior,2023,87,94%
,,,,2024,93,96%
,Queensland NPL,Male,Senior,2020,164,95%
,,,,2021,185,93%
,,,,2022,135,98%
,,,,2023,137,100%
,,,,2024,134,100%
,Queensland NPL Women,Female,Senior,2023,138,99%
,,,,2024,138,97%
,Queensland Premier League,Male,Senior,2023,135,100%
,,,,2024,135,99%
,South Australia NPL,Male,Senior,2020,139,96%
,,,,2021,139,95%
,,,,2022,139,96%
,,,,2023,139,97%
,,,,2024,139,100%
,South Australia Reserves Premier League,Male,Senior,2016,117,0%
,,,,2017,139,0%
,South Australia State,Male,Senior,2023,139,10%
Australia,League 1,Male,Senior,2024,131,32%
,South Australia State Lea..,Male,Senior,2023,42,5%
,State Leagues,Male,Senior,2016,713,0%
",,,,2017,""1,077"",0%"
,Tasmania NPL,Male,Senior,2020,56,89%
,,,,2021,84,58%
,,,,2022,84,43%
,,,,2023,87,40%
,,,,2024,84,0%
,Victoria NPL,Male,Senior,2020,35,100%
,,,,2021,126,96%
,,,,2022,187,98%
,,,,2023,187,97%
,,,,2024,187,94%
,Victoria NPL Women,Female,Senior,2016,112,0%
,,,,2017,134,0%
,,,,2024,135,92%
,Victoria NPL Women Unde..,Female,Youth,2024,132,0%
,Victoria NPL Youth League,Male,Youth,2020,35,0%
,,,,2021,126,0%
,,,,2022,187,0%
,,,,2023,187,0%
,,,,2024,179,0%
,Western Australia NPL,Male,Senior,2020,101,95%
,,,,2021,136,93%
,,,,2022,136,99%
,,,,2023,136,0%
,,,,2024,135,98%
,Western Australia NPL W..,Female,Senior,2024,87,78%
,Western Australia NPL Youth League,Male,Youth,2020,99,0%
,,,,2021,136,0%
,,,,2022,136,0%
,,,,2023,136,0%
,,,,2024,134,0%
,Women's National Premie..,Female,Senior,2017,340,0%
Austria,2. Frauenliga,Female,Senior,2015/2016,197,0%
,,,,2016/2017,197,0%
,,,,2017/2018,122,0%
,2. Liga,Male,Senior,2015/2016,180,69%
,,,,2016/2017,180,97%
,,,,2017/2018,180,96%
,,,,2018/2019,240,100%
,,,,2019/2020,240,98%
,,,,2020/2021,240,97%
,,,,2021/2022,240,96%
,,,,2022/2023,240,100%
Austria,2. Liga,Male,Senior,2023/2024,240,100%
,,,,2024/2025,128,100%
,Bundesliga,Male,Senior,2015/2016,180,100%
,,,,2016/2017,180,100%
,,,,2017/2018,180,100%
,,,,2018/2019,195,100%
,,,,2019/2020,195,100%
,,,,2020/2021,195,100%
,,,,2021/2022,195,100%
,,,,2022/2023,195,100%
,,,,2023/2024,195,100%
,,,,2024/2025,96,100%
,Cup,Male,Senior,2015/2016,63,0%
,,,,2016/2017,63,24%
,,,,2017/2018,63,97%
,,,,2018/2019,63,89%
,,,,2019/2020,63,89%
,,,,2020/2021,62,82%
,,,,2021/2022,63,62%
,,,,2022/2023,63,100%
,,,,2023/2024,63,81%
,,,,2024/2025,56,95%
,Frauenliga,Female,Senior,2015/2016,90,0%
,,,,2016/2017,90,0%
,,,,2017/2018,59,0%
,Jugendliga U18,Male,Youth,2015/2016,132,0%
,,,,2016/2017,132,0%
,,,,2017/2018,65,0%
",Landesliga,Male,Senior,2015/2016,""2,074"",0%"
",,,,2016/2017,""2,192"",0%"
",,,,2017/2018,""1,535"",0%"
,Play-off 1/2,Male,Senior,2017/2018,2,100%
,,,,2020/2021,2,100%
,Regionalliga,Male,Senior,2015/2016,720,0%
,,,,2016/2017,690,2%
,,,,2017/2018,738,6%
,,,,2018/2019,595,0%
,Women's Cup,Female,Senior,2015/2016,31,0%
,,,,2016/2017,31,0%
,,,,2017/2018,26,0%
Azerbaijan,Birinci Dasta,Male,Senior,2015/2016,182,0%
,,,,2016/2017,181,0%
,,,,2017/2018,112,13%
,,,,2018/2019,171,0%
,,,,2019/2020,107,85%
,,,,2020/2021,135,99%
Azerbaijan,Birinci Dasta,Male,Senior,2021/2022,156,70%
,,,,2022/2023,209,36%
,,,,2023/2024,134,95%
,,,,2024/2025,55,56%
,Cup,Male,Senior,2015/2016,24,17%
,,,,2016/2017,23,65%
,,,,2017/2018,23,61%
,,,,2018/2019,17,76%
,,,,2019/2020,12,67%
,,,,2020/2021,17,100%
,,,,2021/2022,17,100%
,,,,2022/2023,19,100%
,,,,2023/2024,32,100%
,,,,2024/2025,19,100%
,Premyer Liqa,Male,Senior,2015/2016,180,64%
,,,,2016/2017,112,100%
,,,,2017/2018,112,100%
,,,,2018/2019,112,100%
,,,,2019/2020,80,100%
,,,,2020/2021,112,99%
,,,,2021/2022,112,100%
,,,,2022/2023,180,99%
,,,,2023/2024,180,100%
,,,,2024/2025,90,100%
,Reserve League,Male,Senior,2015/2016,180,0%
,,,,2016/2017,112,0%
,,,,2017/2018,86,0%
,U19 League,Male,Senior,2015/2016,132,0%
,,,,2016/2017,10,0%
,,,,2019/2020,69,77%
Bahamas,BFA Senior League,Male,Senior,2016/2017,14,0%
Bahrain,King's Cup,Male,Senior,2015/2016,18,0%
,,,,2016/2017,18,0%
,,,,2017/2018,32,0%
,,,,2018/2019,40,0%
,,,,2019/2020,29,0%
,,,,2020/2021,15,0%
,,,,2021/2022,15,0%
,,,,2022/2023,15,0%
,,,,2023/2024,15,0%
,Play-offs 1/2,Male,Senior,2017/2018,1,0%
,Premier League,Male,Senior,2015/2016,90,0%
,,,,2016/2017,90,0%
,,,,2017/2018,88,0%
,,,,2018/2019,92,0%
,,,,2019/2020,90,0%
Bahrain,Premier League,Male,Senior,2020/2021,90,0%
,,,,2021/2022,89,0%
,,,,2022/2023,132,48%
,,,,2023/2024,132,84%
,,,,2024/2025,46,93%
,Second Division,Male,Senior,2015/2016,71,0%
,,,,2016/2017,72,0%
,,,,2017/2018,36,0%
,Super Cup,Male,Senior,2016,1,0%
,,,,2017,1,0%
,,,,2018,1,0%
,,,,2019,1,0%
,,,,2021,1,0%
,,,,2022,1,0%
,,,,2023/2024,1,0%
Bangladesh,Federation Cup,Male,Senior,2016,19,0%
,,,,2017,19,0%
,Premier League,Male,Senior,2016,132,0%
,,,,2017/2018,130,45%
,,,,2022/2023,110,52%
,,,,2023/2024,90,86%
,,,,2024/2025,35,86%
